,fips,County,Year,Citizens,State
447,48031,Blanco County,2007,9877,Texas
448,48033,Borden County,2007,667,Texas
449,48035,Bosque County,2007,17908,Texas
450,48037,Bowie County,2007,91583,Texas
451,48039,Brazoria County,2007,291727,Texas
452,48041,Brazos County,2007,182133,Texas
453,48043,Brewster County,2007,9124,Texas
454,48045,Briscoe County,2007,1687,Texas
455,48047,Brooks County,2007,7450,Texas
456,48049,Brown County,2007,37974,Texas
457,48051,Burleson County,2007,16965,Texas
458,48053,Burnet County,2007,40150,Texas
459,48055,Caldwell County,2007,36270,Texas
460,48057,Calhoun County,2007,21160,Texas
461,48059,Callahan County,2007,13344,Texas
462,48061,Cameron County,2007,384815,Texas
463,48063,Camp County,2007,12140,Texas
464,48065,Carson County,2007,6281,Texas
465,48067,Cass County,2007,30452,Texas
466,48069,Castro County,2007,8126,Texas
467,48071,Chambers County,2007,32371,Texas
468,48073,Cherokee County,2007,49598,Texas
469,48075,Childress County,2007,7237,Texas
470,48077,Clay County,2007,10826,Texas
471,48079,Cochran County,2007,3306,Texas
472,48081,Coke County,2007,3481,Texas
473,48083,Coleman County,2007,8994,Texas
474,48085,Collin County,2007,694935,Texas
475,48087,Collingsworth County,2007,3101,Texas
476,48089,Colorado County,2007,20717,Texas
477,48091,Comal County,2007,99346,Texas
478,48093,Comanche County,2007,13980,Texas
479,48095,Concho County,2007,4050,Texas
480,48097,Cooke County,2007,37818,Texas
481,48099,Coryell County,2007,75301,Texas
482,48101,Cottle County,2007,1623,Texas
483,48103,Crane County,2007,4261,Texas
484,48105,Crockett County,2007,3833,Texas
485,48107,Crosby County,2007,6360,Texas
486,48109,Culberson County,2007,2572,Texas
487,48111,Dallam County,2007,6553,Texas
488,48113,Dallas County,2007,2321720,Texas
489,48115,Dawson County,2007,14179,Texas
490,48117,Deaf Smith County,2007,19129,Texas
491,48119,Delta County,2007,5257,Texas
492,48121,Denton County,2007,593707,Texas
493,48123,DeWitt County,2007,20067,Texas
494,48125,Dickens County,2007,2536,Texas
495,48127,Dimmit County,2007,10058,Texas
496,48129,Donley County,2007,3752,Texas
497,48131,Duval County,2007,12170,Texas
498,48133,Eastland County,2007,18494,Texas
499,48135,Ector County,2007,132332,Texas
500,48137,Edwards County,2007,2049,Texas
501,48139,Ellis County,2007,138147,Texas
502,48141,El Paso County,2007,764327,Texas
503,48143,Erath County,2007,36424,Texas
504,48145,Falls County,2007,18075,Texas
505,48147,Fannin County,2007,33104,Texas
506,48149,Fayette County,2007,23734,Texas
507,48151,Fisher County,2007,4088,Texas
508,48153,Floyd County,2007,6843,Texas
509,48155,Foard County,2007,1421,Texas
510,48157,Fort Bend County,2007,515568,Texas
511,48159,Franklin County,2007,10251,Texas
512,48161,Freestone County,2007,19227,Texas
513,48163,Frio County,2007,16928,Texas
514,48165,Gaines County,2007,16607,Texas
515,48167,Galveston County,2007,278968,Texas
516,48169,Garza County,2007,5985,Texas
517,48171,Gillespie County,2007,23627,Texas
518,48173,Glasscock County,2007,1282,Texas
519,48175,Goliad County,2007,7123,Texas
520,48177,Gonzales County,2007,19448,Texas
521,48179,Gray County,2007,22598,Texas
522,48181,Grayson County,2007,117784,Texas
523,48183,Gregg County,2007,118619,Texas
524,48185,Grimes County,2007,25669,Texas
525,48187,Guadalupe County,2007,118730,Texas
526,48189,Hale County,2007,36325,Texas
527,48191,Hall County,2007,3481,Texas
528,48193,Hamilton County,2007,8426,Texas
529,48195,Hansford County,2007,5539,Texas
530,48197,Hardeman County,2007,4314,Texas
531,48199,Hardin County,2007,52667,Texas
532,48201,Harris County,2007,3885573,Texas
533,48203,Harrison County,2007,64579,Texas
534,48205,Hartley County,2007,5904,Texas
535,48207,Haskell County,2007,5958,Texas
536,48209,Hays County,2007,139344,Texas
537,48211,Hemphill County,2007,3670,Texas
538,48213,Henderson County,2007,76905,Texas
539,48215,Hidalgo County,2007,713067,Texas
540,48217,Hill County,2007,34251,Texas
541,48219,Hockley County,2007,22864,Texas
542,48221,Hood County,2007,48110,Texas
543,48223,Hopkins County,2007,34200,Texas
544,48225,Houston County,2007,23556,Texas
545,48227,Howard County,2007,34597,Texas
546,48229,Hudspeth County,2007,3437,Texas
547,48231,Hunt County,2007,83282,Texas
548,48233,Hutchinson County,2007,22733,Texas
549,48235,Irion County,2007,1647,Texas
550,48237,Jack County,2007,8956,Texas
551,48239,Jackson County,2007,14168,Texas
552,48241,Jasper County,2007,35662,Texas
553,48243,Jeff Davis County,2007,2301,Texas
554,48245,Jefferson County,2007,252184,Texas
555,48247,Jim Hogg County,2007,5294,Texas
556,48249,Jim Wells County,2007,40388,Texas
557,48251,Johnson County,2007,143644,Texas
558,48253,Jones County,2007,20372,Texas
559,48255,Karnes County,2007,15011,Texas
560,48257,Kaufman County,2007,93789,Texas
561,48259,Kendall County,2007,30525,Texas
562,48261,Kenedy County,2007,413,Texas
563,48263,Kent County,2007,823,Texas
564,48265,Kerr County,2007,47831,Texas
565,48267,Kimble County,2007,4561,Texas
566,48269,King County,2007,306,Texas
567,48271,Kinney County,2007,3531,Texas
568,48273,Kleberg County,2007,31925,Texas
569,48275,Knox County,2007,3879,Texas
570,48277,Lamar County,2007,49399,Texas
571,48279,Lamb County,2007,14197,Texas
572,48281,Lampasas County,2007,19124,Texas
573,48283,La Salle County,2007,6579,Texas
574,48285,Lavaca County,2007,19249,Texas
575,48287,Lee County,2007,16322,Texas
576,48289,Leon County,2007,16352,Texas
577,48291,Liberty County,2007,74007,Texas
578,48293,Limestone County,2007,22986,Texas
579,48295,Lipscomb County,2007,3226,Texas
580,48297,Live Oak County,2007,11751,Texas
581,48299,Llano County,2007,18609,Texas
582,48301,Loving County,2007,77,Texas
583,48303,Lubbock County,2007,268035,Texas
584,48305,Lynn County,2007,6104,Texas
585,48307,McCulloch County,2007,8259,Texas
586,48309,McLennan County,2007,228486,Texas
587,48311,McMullen County,2007,749,Texas
588,48313,Madison County,2007,13450,Texas
589,48315,Marion County,2007,10656,Texas
590,48317,Martin County,2007,4783,Texas
591,48319,Mason County,2007,3929,Texas
592,48321,Matagorda County,2007,37067,Texas
593,48323,Maverick County,2007,52166,Texas
594,48325,Medina County,2007,43999,Texas
595,48327,Menard County,2007,2276,Texas
596,48329,Midland County,2007,130620,Texas
597,48331,Milam County,2007,24599,Texas
598,48333,Mills County,2007,5001,Texas
599,48335,Mitchell County,2007,9490,Texas
600,48337,Montague County,2007,19536,Texas
601,48339,Montgomery County,2007,407158,Texas
602,48341,Moore County,2007,21369,Texas
603,48343,Morris County,2007,12966,Texas
604,48345,Motley County,2007,1269,Texas
605,48347,Nacogdoches County,2007,62925,Texas
606,48349,Navarro County,2007,47021,Texas
607,48351,Newton County,2007,14627,Texas
608,48353,Nolan County,2007,15392,Texas
609,48355,Nueces County,2007,332209,Texas
610,48357,Ochiltree County,2007,9856,Texas
611,48359,Oldham County,2007,2091,Texas
612,48361,Orange County,2007,82795,Texas
613,48363,Palo Pinto County,2007,27789,Texas
614,48365,Panola County,2007,23484,Texas
615,48367,Parker County,2007,108398,Texas
616,48369,Parmer County,2007,10190,Texas
617,48371,Pecos County,2007,15892,Texas
618,48373,Polk County,2007,44136,Texas
619,48375,Potter County,2007,118851,Texas
620,48377,Presidio County,2007,7663,Texas
621,48379,Rains County,2007,10379,Texas
622,48381,Randall County,2007,115756,Texas
623,48383,Reagan County,2007,3354,Texas
624,48385,Real County,2007,3230,Texas
625,48387,Red River County,2007,13299,Texas
626,48389,Reeves County,2007,13590,Texas
627,48391,Refugio County,2007,7517,Texas
628,48393,Roberts County,2007,916,Texas
629,48395,Robertson County,2007,16425,Texas
630,48397,Rockwall County,2007,67737,Texas
631,48399,Runnels County,2007,10796,Texas
632,48401,Rusk County,2007,51537,Texas
633,48403,Sabine County,2007,10706,Texas
634,48405,San Augustine County,2007,8884,Texas
635,48407,San Jacinto County,2007,25127,Texas
636,48409,San Patricio County,2007,65543,Texas
637,48411,San Saba County,2007,6146,Texas
638,48413,Schleicher County,2007,3302,Texas
639,48415,Scurry County,2007,16753,Texas
640,48417,Shackelford County,2007,3356,Texas
641,48419,Shelby County,2007,25378,Texas
642,48421,Sherman County,2007,3079,Texas
643,48423,Smith County,2007,199265,Texas
644,48425,Somervell County,2007,8017,Texas
645,48427,Starr County,2007,58749,Texas
646,48429,Stephens County,2007,9643,Texas
647,48431,Sterling County,2007,1218,Texas
648,48433,Stonewall County,2007,1550,Texas
649,48435,Sutton County,2007,4111,Texas
650,48437,Swisher County,2007,8012,Texas
651,48439,Tarrant County,2007,1702245,Texas
652,48441,Taylor County,2007,130037,Texas
653,48443,Terrell County,2007,1013,Texas
654,48445,Terry County,2007,12682,Texas
655,48447,Throckmorton County,2007,1702,Texas
656,48449,Titus County,2007,31069,Texas
657,48451,Tom Green County,2007,108364,Texas
658,48453,Travis County,2007,960656,Texas
659,48455,Trinity County,2007,14396,Texas
660,48457,Tyler County,2007,21484,Texas
661,48459,Upshur County,2007,38112,Texas
662,48461,Upton County,2007,3366,Texas
663,48463,Uvalde County,2007,26259,Texas
664,48465,Val Verde County,2007,47665,Texas
665,48467,Van Zandt County,2007,51230,Texas
