Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2009,18522380,MONROE,FL,73743,71369.62996953771
2009,18522380,NASSAU,FL,71739,45514.90099500005
2009,18522380,OKALOOSA,FL,179790,58085.7868360877
2009,18522380,OKEECHOBEE,FL,39586,35903.96056931252
2009,18522380,ORANGE,FL,1120970,688873.4670696491
2009,18522380,OSCEOLA,FL,259064,225661.7926258509
2009,18522380,PALM BEACH,FL,1301244,1813924.7727786978
2009,18522380,PASCO,FL,452704,561319.1654819326
2009,18522380,PINELLAS,FL,917270,1035506.5572697439
2009,18522380,POLK,FL,590277,198919.97026203945
2009,18522380,PUTNAM,FL,73973,71246.09851038766
2009,18522380,ST. JOHNS,FL,183357,75312.16558447541
2009,18522380,ST. LUCIE,FL,268801,166843.1393083883
2009,18522380,SANTA ROSA,FL,148010,67867.26888157526
2009,18522380,SARASOTA,FL,374089,367976.23220970226
2009,18522380,SEMINOLE,FL,416982,320779.0559958776
2009,18522380,SUMTER,FL,89409,30569.09490453753
2009,18522380,SUWANNEE,FL,40884,12835.535907037516
2009,18522380,TAYLOR,FL,22241,11572.548858862514
2009,18522380,UNION,FL,15327,4037.616628387499
2009,18522380,VOLUSIA,FL,489474,370128.3798410647
2009,18522380,WAKULLA,FL,29994,8481.538980000003
2009,18522380,WALTON,FL,53593,29237.20863746256
2009,18522380,WASHINGTON,FL,24503,13060.632694987507
2010,18804580,ALACHUA,FL,247337,150910.78587588842
2010,18804580,BAKER,FL,27115,29821.45321500003
2010,18804580,BAY,FL,168852,73912.3022531631
2010,18804580,BRADFORD,FL,28520,26551.078983862528
2010,18804580,BREVARD,FL,543372,508840.97649446625
2010,18804580,BROWARD,FL,1748146,3026736.844585437
2010,18804580,CALHOUN,FL,14625,2722.435964999998
2010,18804580,CHARLOTTE,FL,159964,230654.24658952624
2010,18804580,CITRUS,FL,141229,111738.27332778815
2010,18804580,CLAY,FL,190865,144996.73572806342
2010,18804580,COLLIER,FL,321521,237663.77975358928
2010,18804580,COLUMBIA,FL,67526,54609.82727295019
2010,18804580,DESOTO,FL,34862,13087.62123750001
2010,18804580,DIXIE,FL,16422,2657.1103499999995
2010,18804580,DUVAL,FL,864267,765000.296947213
2010,18804580,ESCAMBIA,FL,297620,156708.20749410125
2010,18804580,FLAGLER,FL,95703,54742.93905453764
2010,18804580,FRANKLIN,FL,11549,2736.8763674999987
2010,18804580,GADSDEN,FL,47744,8384.369197500002
2010,18804580,GILCHRIST,FL,16941,5760.958282724997
2010,18804580,GLADES,FL,12881,6489.442050000001
2010,18804580,GULF,FL,15861,4311.716249999998
2010,18804580,HAMILTON,FL,14799,3470.682828862499
2010,18804580,HARDEE,FL,27731,8867.19339
2010,18804580,HENDRY,FL,39143,27617.01531000001
2010,18804580,HERNANDO,FL,172777,331289.8299954397
2010,18804580,HIGHLANDS,FL,98786,45729.84357431257
2010,18804580,HILLSBOROUGH,FL,1229178,2801560.6110110753
2010,18804580,HOLMES,FL,19924,5004.425704087495
2010,18804580,INDIAN RIVER,FL,138028,111822.90470928821
2010,18804580,JACKSON,FL,49761,14859.564825000027
2010,18804580,JEFFERSON,FL,14759,2637.125017499999
2010,18804580,LAFAYETTE,FL,8870,1363.4092875
2010,18804580,LAKE,FL,297052,177229.26266111413
2010,18804580,LEE,FL,618754,680132.8328028435
2010,18804580,LEON,FL,275484,56268.73599817527
2010,18804580,LEVY,FL,40801,36649.652385900044
2010,18804580,LIBERTY,FL,8365,1141.6443375
2010,18804580,MADISON,FL,19230,4027.7635124999974
2010,18804580,MANATEE,FL,322879,360934.68390885193
2010,18804580,MARION,FL,331299,216686.24085168933
2010,18804580,MARTIN,FL,146852,149894.56248135073
2010,18804580,MIAMI-DADE,FL,2498013,1242761.206921471
2010,18804580,MONROE,FL,73090,77309.96657542528
2010,18804580,NASSAU,FL,73310,55038.31814681262
2010,18804580,OKALOOSA,FL,180825,61460.16682545031
2010,18804580,OKEECHOBEE,FL,39996,55324.33029045006
2010,18804580,ORANGE,FL,1145954,1118030.4767553909
2010,18804580,OSCEOLA,FL,268683,289370.5034899886
